mode,id,year,subject,difficulty,stem,option_a,option_b,option_c,option_d,correct,feedback_correct,feedback_wrong
IFES,IFES2023-Q037,2023,Matemática,médio,"A média de 6, 10, 4 e 9 é:",8.2,7.2,6.7,7.7,B,Mandou bem! 🚀,Boa tentativa! Revise esse tema. 📚
IFES,IFES2023-Q007,2023,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Muito bem! ✅,Não desanima! Você consegue. 💪
IFES,IFES2023-Q005,2023,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Show! 👏,Não desanima! Você consegue. 💪
IFES,IFES2024-Q017,2024,História,difícil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Muito bem! ✅,Não desanima! Você consegue. 💪
IFES,IFES2022-Q063,2022,Português,difícil,Qual frase está correta?,Houve problemas no teste.,Houveram problemas no teste.,Precisa-se de voluntario.,Fazem dois anos que estudei.,A,Acertou em cheio! 🎯,Boa tentativa! Revise esse tema. 📚
IFES,IFES2024-Q097,2024,Química,médio,Principal gás do efeito estufa de fósseis:,CO₂,O₂,N₂,H₂,A,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
IFES,IFES2022-Q075,2022,Biologia,difícil,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Muito bem! ✅,Ops! Passou raspando. 🪒
IFES,IFES2022-Q038,2022,Português,médio,Escolha a frase com concordância adequada:,Existem muitas oportunidades.,Houveram problemas ontem.,Precisam-se de ajuda urgente.,Fazem cinco anos.,A,Você tá voando! 🛫,Anota e revisa depois. 📝
IFES,IFES2024-Q048,2024,Artes,médio,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Excelente! 🧠,Quase! Tenta a próxima. 😉
IFES,IFES2024-Q062,2024,Geografia,fácil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Show! 👏,Não desanima! Você consegue. 💪
IFES,IFES2023-Q049,2023,Matemática,difícil,"A média de 8, 9, 9 e 10 é:",9.5,8.5,10.0,9.0,D,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
IFES,IFES2023-Q053,2023,Física,médio,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Mandou bem! 🚀,Ops! Passou raspando. 🪒
IFES,IFES2022-Q013,2022,Português,médio,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Show! 👏,Boa tentativa! Revise esse tema. 📚
IFES,IFES2022-Q097,2022,Matemática,médio,Calcule 16 × 9.,150,162,121,144,D,Você tá voando! 🛫,Respira e vai de novo. 😌
IFES,IFES2023-Q069,2023,Português,fácil,Classifique o sujeito em: ‘Os alunos e o professor saíram.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,B,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
IFES,IFES2022-Q041,2022,Química,médio,Uma solução ácida tem pH:,menor que 7,igual a 7,maior que 7,igual a 14,A,Top demais! ✨,Anota e revisa depois. 📝
IFES,IFES2022-Q028,2022,Português,médio,Classifique o sujeito em: ‘Fizemos a prova.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,C,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
IFES,IFES2022-Q080,2022,Matemática,médio,Calcule 21 × 25.,550,525,534,499,B,Show! 👏,Boa tentativa! Revise esse tema. 📚
IFES,IFES2023-Q039,2023,Matemática,fácil,Preço 291 com 10% de desconto. Preço final:,R$ 247.35,R$ 253.38,R$ 261.90,R$ 276.45,C,Excelente! 🧠,Boa tentativa! Revise esse tema. 📚
IFES,IFES2022-Q091,2022,Matemática,difícil,Preço 69 com 15% de desconto. Preço final:,R$ 58.65,R$ 62.10,R$ 55.20,R$ 67.19,A,Acertou em cheio! 🎯,Ops! Passou raspando. 🪒
IFES,IFES2024-Q067,2024,Química,fácil,O NaCl apresenta ligação:,iônica,covalente apolar,metálica,hidrogênio,A,Show! 👏,Vai estudar mais e volte amanhã… 😅
IFES,IFES2024-Q044,2024,Matemática,fácil,"A média de 4, 6, 7 e 4 é:",5.7,6.2,4.7,5.2,D,Excelente! 🧠,Não desanima! Você consegue. 💪
IFES,IFES2024-Q084,2024,Matemática,médio,Resolva: 5x + 8 = 53. Valor de x:,10,11,8,9,D,Você tá voando! 🛫,Anota e revisa depois. 📝
IFES,IFES2022-Q083,2022,Matemática,fácil,"A média de 4, 8, 8 e 5 é:",6.2,6.7,7.2,5.7,A,Show! 👏,Boa tentativa! Revise esse tema. 📚
IFES,IFES2024-Q029,2024,Física,difícil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Show! 👏,Anota e revisa depois. 📝
IFES,IFES2023-Q044,2023,Matemática,fácil,Preço 202 com 25% de desconto. Preço final:,R$ 151.50,R$ 161.60,R$ 141.40,R$ 158.44,A,Top demais! ✨,Vai estudar mais e volte amanhã… 😅
IFES,IFES2022-Q052,2022,Matemática,difícil,Preço 315 com 15% de desconto. Preço final:,R$ 252.00,R$ 267.75,R$ 259.91,R$ 283.50,B,Excelente! 🧠,Ops! Passou raspando. 🪒
IFES,IFES2024-Q085,2024,Matemática,fácil,"A média de 6, 6, 10 e 10 é:",7.5,9.0,8.5,8.0,D,Top demais! ✨,Vai estudar mais e volte amanhã… 😅
IFES,IFES2024-Q082,2024,Matemática,fácil,Calcule 13 × 23.,313,299,289,308,B,Show! 👏,Não desanima! Você consegue. 💪
IFES,IFES2022-Q100,2022,Português,fácil,Classifique o sujeito em: ‘O carro chegou cedo.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,A,Muito bem! ✅,Não desanima! Você consegue. 💪
IFES,IFES2024-Q001,2024,Física,fácil,Energia cinética depende de:,massa e v²,apenas massa,apenas velocidade,apenas altura,A,Acertou em cheio! 🎯,Quase! Tenta a próxima. 😉
IFES,IFES2022-Q007,2022,Matemática,fácil,Resolva: 6x + 7 = 37. Valor de x:,7,6,4,5,D,Você tá voando! 🛫,Quase! Tenta a próxima. 😉
IFES,IFES2023-Q051,2023,Matemática,difícil,Quanto é 615 + 396?,1011,1021,1019,1001,A,Top demais! ✨,Não desanima! Você consegue. 💪
IFES,IFES2024-Q058,2024,Matemática,médio,Resolva: 5x + 6 = 31. Valor de x:,6,7,4,5,D,Acertou em cheio! 🎯,Não desanima! Você consegue. 💪
IFES,IFES2023-Q036,2023,Matemática,médio,"A média de 5, 8, 7 e 7 é:",7.8,7.3,6.3,6.8,D,Você tá voando! 🛫,Respira e vai de novo. 😌
IFES,IFES2023-Q093,2023,Matemática,médio,Área de triângulo: base 34 e altura 8.,144 cm²,140 cm²,136 cm²,132 cm²,C,Acertou em cheio! 🎯,Quase! Tenta a próxima. 😉
IFES,IFES2023-Q088,2023,Matemática,difícil,Preço 468 com 10% de desconto. Preço final:,R$ 444.60,R$ 397.80,R$ 421.20,R$ 431.77,C,Show! 👏,Respira e vai de novo. 😌
IFES,IFES2022-Q099,2022,Matemática,médio,Área de triângulo: base 26 e altura 6.,82 cm²,74 cm²,78 cm²,86 cm²,C,Mandou bem! 🚀,Ops! Passou raspando. 🪒
IFES,IFES2022-Q059,2022,Matemática,difícil,Preço 73 com 30% de desconto. Preço final:,R$ 51.10,R$ 41.69,R$ 47.45,R$ 54.75,A,Mandou bem! 🚀,Boa tentativa! Revise esse tema. 📚
IFES,IFES2022-Q019,2022,Matemática,fácil,Resolva: 7x + 8 = 113. Valor de x:,16,15,17,14,B,Show! 👏,Respira e vai de novo. 😌
IFES,IFES2023-Q080,2023,Matemática,fácil,Área de triângulo: base 38 e altura 7.,129 cm²,141 cm²,133 cm²,137 cm²,C,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
IFES,IFES2023-Q091,2023,Matemática,fácil,Área de triângulo: base 32 e altura 14.,224 cm²,228 cm²,220 cm²,232 cm²,A,Mandou bem! 🚀,Quase! Tenta a próxima. 😉
IFES,IFES2024-Q036,2024,Matemática,difícil,Calcule 23 × 25.,575,578,568,600,A,Acertou em cheio! 🎯,Respira e vai de novo. 😌
IFES,IFES2024-Q004,2024,Matemática,médio,Preço 231 com 30% de desconto. Preço final:,R$ 145.42,R$ 161.70,R$ 173.25,R$ 150.15,B,Você tá voando! 🛫,Boa tentativa! Revise esse tema. 📚
