mode,id,year,subject,difficulty,stem,option_a,option_b,option_c,option_d,correct,feedback_correct,feedback_wrong
ENEM,ENEM2024-Q042,2024,Geografia,médio,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Show! 👏,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q076,2022,Português,difícil,Classifique o sujeito em: ‘O carro chegou cedo.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,A,Excelente! 🧠,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q064,2023,Português,fácil,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q001,2022,Química,médio,Principal gás do efeito estufa de fósseis:,CO₂,O₂,N₂,H₂,A,Excelente! 🧠,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q050,2023,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Excelente! 🧠,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q036,2022,Química,médio,Uma solução ácida tem pH:,menor que 7,igual a 7,maior que 7,igual a 14,A,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q023,2023,Matemática,médio,Preço 176 com 15% de desconto. Preço final:,R$ 163.17,R$ 140.80,R$ 149.60,R$ 158.40,C,Muito bem! ✅,Respira e vai de novo. 😌
ENEM,ENEM2022-Q008,2022,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q092,2024,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Show! 👏,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q006,2024,Física,fácil,Energia cinética depende de:,massa e v²,apenas massa,apenas velocidade,apenas altura,A,Mandou bem! 🚀,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q070,2023,Artes,fácil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2022-Q009,2022,Matemática,fácil,Preço 128 com 15% de desconto. Preço final:,R$ 115.20,R$ 108.80,R$ 102.40,R$ 120.48,B,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q011,2024,Física,médio,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Mandou bem! 🚀,Anota e revisa depois. 📝
ENEM,ENEM2024-Q087,2024,Física,fácil,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q064,2024,Matemática,médio,Resolva: 6x + 9 = 93. Valor de x:,13,15,16,14,D,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2023-Q074,2023,Português,fácil,Classifique o sujeito em: ‘Os alunos e o professor saíram.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,B,Acertou em cheio! 🎯,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q035,2022,Matemática,médio,Resolva: 3x + 2 = 38. Valor de x:,12,13,11,14,A,Show! 👏,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q060,2022,Português,médio,Qual frase está correta?,Houve problemas no teste.,Houveram problemas no teste.,Precisa-se de voluntario.,Fazem dois anos que estudei.,A,Muito bem! ✅,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q097,2022,História,difícil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2023-Q054,2023,Química,médio,O NaCl apresenta ligação:,iônica,covalente apolar,metálica,hidrogênio,A,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2023-Q046,2023,Matemática,médio,Área de triângulo: base 18 e altura 5.,45 cm²,53 cm²,41 cm²,49 cm²,A,Muito bem! ✅,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q006,2023,Matemática,médio,Quanto é 952 + 530?,1495,1492,1472,1482,D,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q089,2023,Matemática,fácil,Quanto é 581 + 631?,1227,1222,1212,1202,C,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q054,2022,Português,médio,Classifique o sujeito em: ‘Choveu muito.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,D,Show! 👏,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q047,2024,Matemática,médio,Resolva: 5x + 9 = 44. Valor de x:,6,8,7,9,C,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2023-Q077,2023,Matemática,médio,Quanto é 395 + 823?,1228,1208,1218,1228,C,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2022-Q012,2022,Português,fácil,Escolha a frase com concordância adequada:,Existem muitas oportunidades.,Houveram problemas ontem.,Precisam-se de ajuda urgente.,Fazem cinco anos.,A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q068,2022,Português,médio,Classifique o sujeito em: ‘Fizemos a prova.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,C,Show! 👏,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q011,2023,Matemática,médio,"A média de 6, 9, 9 e 10 é:",9.0,8.5,8.0,9.5,B,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q044,2023,Matemática,difícil,"A média de 10, 6, 5 e 7 é:",7.0,6.5,8.0,7.5,A,Excelente! 🧠,Não desanima! Você consegue. 💪
ENEM,ENEM2024-Q079,2024,Matemática,fácil,Área de triângulo: base 28 e altura 12.,172 cm²,168 cm²,176 cm²,164 cm²,B,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q084,2022,Matemática,difícil,Quanto é 854 + 440?,1284,1294,1308,1304,B,Show! 👏,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q085,2022,Matemática,difícil,"A média de 5, 5, 10 e 7 é:",7.8,6.8,7.3,6.3,B,Top demais! ✨,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q014,2022,Matemática,médio,Resolva: 6x + 4 = 82. Valor de x:,15,14,12,13,D,Top demais! ✨,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2024-Q043,2024,Matemática,médio,Preço 205 com 25% de desconto. Preço final:,R$ 138.39,R$ 153.75,R$ 143.50,R$ 164.00,B,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q073,2022,Matemática,médio,Preço 374 com 25% de desconto. Preço final:,R$ 261.80,R$ 299.20,R$ 293.67,R$ 280.50,D,Acertou em cheio! 🎯,Respira e vai de novo. 😌
ENEM,ENEM2022-Q096,2022,Matemática,fácil,Resolva: 2x + 5 = 21. Valor de x:,10,8,9,7,B,Excelente! 🧠,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q026,2024,Matemática,fácil,Calcule 20 × 7.,144,124,163,140,D,Brilhou agora! 🌟,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2024-Q007,2024,Matemática,médio,Calcule 17 × 17.,307,289,280,294,B,Acertou em cheio! 🎯,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q019,2022,Matemática,médio,Quanto é 999 + 680?,1682,1689,1669,1679,D,Show! 👏,Anota e revisa depois. 📝
ENEM,ENEM2023-Q062,2023,Matemática,fácil,Área de triângulo: base 20 e altura 11.,110 cm²,106 cm²,114 cm²,118 cm²,A,Acertou em cheio! 🎯,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q059,2024,Matemática,difícil,Quanto é 115 + 466?,591,589,581,571,C,Você tá voando! 🛫,Quase! Tenta a próxima. 😉
