mode,id,year,subject,difficulty,stem,option_a,option_b,option_c,option_d,correct,feedback_correct,feedback_wrong
ENEM,ENEM2024-Q042,2024,Geografia,médio,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Show! 👏,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q076,2022,Português,difícil,Classifique o sujeito em: ‘O carro chegou cedo.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,A,Excelente! 🧠,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q037,2023,Geografia,difícil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Excelente! 🧠,Respira e vai de novo. 😌
ENEM,ENEM2023-Q064,2023,Português,fácil,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q001,2022,Química,médio,Principal gás do efeito estufa de fósseis:,CO₂,O₂,N₂,H₂,A,Excelente! 🧠,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q050,2023,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Excelente! 🧠,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q092,2022,Geografia,fácil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Excelente! 🧠,Respira e vai de novo. 😌
ENEM,ENEM2022-Q036,2022,Química,médio,Uma solução ácida tem pH:,menor que 7,igual a 7,maior que 7,igual a 14,A,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q023,2023,Matemática,médio,Preço 176 com 15% de desconto. Preço final:,R$ 163.17,R$ 140.80,R$ 149.60,R$ 158.40,C,Muito bem! ✅,Respira e vai de novo. 😌
ENEM,ENEM2022-Q008,2022,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q092,2024,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Show! 👏,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q006,2024,Física,fácil,Energia cinética depende de:,massa e v²,apenas massa,apenas velocidade,apenas altura,A,Mandou bem! 🚀,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q070,2023,Artes,fácil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2022-Q023,2022,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Top demais! ✨,Respira e vai de novo. 😌
ENEM,ENEM2024-Q063,2024,Sociologia,difícil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Top demais! ✨,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q034,2022,Geografia,médio,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q058,2024,Física,fácil,Energia cinética depende de:,massa e v²,apenas massa,apenas velocidade,apenas altura,A,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2024-Q086,2024,Física,médio,Energia cinética depende de:,massa e v²,apenas massa,apenas velocidade,apenas altura,A,Acertou em cheio! 🎯,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q057,2023,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Você tá voando! 🛫,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q026,2023,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Show! 👏,Anota e revisa depois. 📝
ENEM,ENEM2022-Q042,2022,Artes,fácil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Top demais! ✨,Anota e revisa depois. 📝
ENEM,ENEM2023-Q028,2023,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Mandou bem! 🚀,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q002,2022,Artes,médio,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Brilhou agora! 🌟,Respira e vai de novo. 😌
ENEM,ENEM2022-Q009,2022,Matemática,fácil,Preço 128 com 15% de desconto. Preço final:,R$ 115.20,R$ 108.80,R$ 102.40,R$ 120.48,B,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q050,2024,Português,médio,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2023-Q041,2023,Geografia,difícil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Você tá voando! 🛫,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q026,2022,Química,médio,Uma solução ácida tem pH:,menor que 7,igual a 7,maior que 7,igual a 14,A,Show! 👏,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q007,2022,Geografia,fácil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Excelente! 🧠,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q032,2022,Artes,médio,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Brilhou agora! 🌟,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q006,2022,Filosofia,médio,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Brilhou agora! 🌟,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q046,2024,Português,difícil,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q053,2022,Biologia,fácil,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Show! 👏,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q080,2023,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Show! 👏,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q011,2024,Física,médio,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Mandou bem! 🚀,Anota e revisa depois. 📝
ENEM,ENEM2024-Q035,2024,Sociologia,difícil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Show! 👏,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q087,2024,Física,fácil,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q076,2024,Artes,médio,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Show! 👏,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q064,2024,Matemática,médio,Resolva: 6x + 9 = 93. Valor de x:,13,15,16,14,D,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2023-Q074,2023,Português,fácil,Classifique o sujeito em: ‘Os alunos e o professor saíram.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,B,Acertou em cheio! 🎯,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q031,2022,Biologia,fácil,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
